value,count
0.086689204,64
0.08672487,139
0.08672487,83
0.08672487,95
0.08672487,70
0.08672487,139
0.08677398,87
0.08677398,59
0.08677398,116
0.08677398,116
0.08677398,67
0.086777866,119
0.086777866,190
0.086777866,190
0.086777866,95
0.086777866,142
0.08721736,52
0.08721736,52
0.08738128,51
0.08738128,51
0.08757193,103
0.08757193,70
0.08757193,75
0.08757193,50
0.08757193,103
0.08766116,50
0.08766116,50
0.0877349,53
0.0877349,72
0.0877349,72
0.0877349,50
0.08789058,51
0.08789058,61
0.08789058,61
0.0879236,97
0.0879236,164
0.0879236,215
0.0879236,215
0.0879236,139
0.087936096,177
0.087936096,240
0.087936096,155
0.087936096,240
0.087936096,122
0.087941535,64
0.087941535,64
0.087941535,52
0.08803382,56
0.08803382,67
0.08803382,59
0.08803382,104
0.08803382,104
0.08820883,54
0.08820883,54
0.088251814,89
0.088251814,171
0.088251814,75
0.088251814,124
0.088251814,171
0.08836595,105
0.08836595,63
0.08836595,77
0.08836595,54
0.08836595,105
0.088412106,53
0.088412106,53
0.08845067,53
